-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2493,-9999
0,-774,-952,-9999,-626,4090,3824,3274,-9999,-9999,-52,-9999,124,-9999,474,2486,19638791
0,-774,-9999,-902,-626,4318,-9999,3994,4377,27,-55,-986,124,-9999,476,2479,19639044
0,-776,-959,-897,-9999,4390,-9999,4236,-9999,20,-60,-9999,-9999,-14,474,2509,19639290
0,-774,-957,-901,-626,4439,3715,4394,4308,20,-60,-980,124,-14,468,2507,19639521
0,-9999,-9999,-940,-633,-9999,-9999,3661,693,-9999,-9999,-969,116,-14,483,-9999,19639777
0,-776,-901,-950,-634,-9999,3521,-9999,-9999,-9999,-9999,-1092,116,-14,-9999,2546,19640045
0,-788,-871,-9999,-640,-9999,2789,4393,335,-9999,-72,-9999,114,-4,-9999,2544,19640307
0,-796,-9999,-9999,-644,3589,-9999,3988,256,0,-52,-9999,-9999,-9999,474,2581,19640585
0,-794,-850,-9999,-9999,3091,-9999,3426,253,-52,-9999,-9999,-9999,-6,-9999,2506,19640840
0,-9999,-9999,-929,-9999,3919,-9999,3864,-9999,18,-40,-9999,114,-6,476,-9999,19641092
0,-782,-9999,-943,-9999,-9999,3536,4222,-9999,-9999,-9999,-1005,-9999,-9999,476,-9999,19641352
0,-9999,-911,-9999,-635,4128,2150,3476,-9999,11,-25,-995,104,-24,495,-9999,19641579
0,-776,-9999,-9999,-636,-9999,3527,4151,1815,-5,-20,-9999,-9999,-9999,478,2470,19641823
0,-9999,-9999,-862,-9999,4080,2779,4351,314,-9999,-9999,-980,104,-24,485,-9999,19642079
0,-774,-890,-9999,-640,-9999,-9999,4436,818,104,53,-1005,115,-9999,-9999,2846,19642339
0,-9999,-841,-879,-686,-9999,3033,-9999,1036,-9999,88,-9999,-9999,54,-9999,-9999,19642583
0,-9999,-9999,-850,-722,4462,-9999,-9999,1006,5,9,-9999,104,116,474,3232,19642837
0,-9999,-765,-844,-9999,-9999,1001,4496,-9999,-131,-22,-957,-9999,153,465,-9999,19643067
0,-858,-770,-820,-9999,4470,1718,4480,1488,-196,-9999,-9999,54,-9999,467,3210,19643296
0,-9999,-779,-787,-740,4476,2476,-9999,-9999,-42,-9999,-892,-9999,176,476,3415,19643546
0,-9999,-9999,-9999,-754,-9999,1199,4482,1810,-67,-39,-995,24,184,464,3428,19643798
0,-9999,-785,-9999,-762,-9999,2317,4487,1539,-9999,-20,-1004,24,184,-9999,3428,19644047
0,-775,-784,-761,-9999,3855,1984,4426,944,-21,-20,-1002,-9999,184,466,3525,19644295
0,-774,-782,-9999,-768,4216,2505,4465,-9999,67,11,-992,-9999,186,466,-9999,19644534
0,-771,-768,-9999,-9999,4358,-9999,-9999,-9999,-9999,56,-9999,-9999,-9999,-9999,120,19644794
0,-774,-9999,-747,-9999,4446,-9999,4032,-9999,12,44,-1031,-86,-9999,-9999,238,19645027
0,-9999,-828,-741,-853,4209,3519,-9999,1603,-9999,-9999,-1007,-9999,-9999,-9999,-9999,19645252
0,-9999,-9999,-9999,-851,3566,-9999,4407,-9999,-223,-5,-1057,-176,124,462,396,19645510
0,-9999,-839,-784,-849,4091,2702,4470,2588,-91,-9999,-1078,-185,114,-9999,560,19645754
0,-9999,-807,-9999,-795,4347,1650,4477,-9999,-9999,-68,-973,-9999,-9999,444,-9999,19646002
0,-9999,-783,-774,-802,4400,1658,3055,-9999,-44,-52,-998,-9999,-9999,448,614,19646276
0,-796,-783,-9999,-9999,-9999,3309,3755,3175,-52,-9999,-9999,-196,116,-9999,618,19646501
0,-9999,-9999,-772,-814,-9999,-9999,-9999,-9999,-76,-9999,-9999,-9999,-9999,-9999,-9999,19646741
0,-798,-9999,-762,-798,-9999,719,-9999,-9999,34,-21,-9999,-9999,-9999,-9999,-9999,19647001
0,-887,-9999,-9999,-776,4473,-9999,4367,-9999,43,21,-1008,-206,-9999,-9999,719,19647266
0,-872,-846,-768,-790,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,4,-9999,-9999,19647511
0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,44,-9999,-9999,-42,-9999,-9999,19647756
0,-9999,-9999,-9999,-9999,4316,1316,-9999,-9999,-215,-9999,-9999,-9999,-74,486,-9999,19647993
0,-9999,-9999,-870,-9999,-9999,515,-9999,-9999,-9999,-9999,-9999,-9999,-9999,486,-9999,19648528
0,-9999,-9999,-9999,-9999,4453,-9999,-9999,-9999,-59,-9999,-9999,-9999,-9999,474,1414,19648766
0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-52,-988,-9999,-9999,476,-9999,19649039
0,-728,-9999,-853,-9999,-9999,422,3737,-9999,-76,-9999,-1003,-114,-9999,474,-9999,19649306
0,-733,-9999,-844,-9999,-9999,-9999,4239,-9999,3,-36,-988,-116,-9999,-9999,-9999,19649587
0,-736,-9999,-9999,-749,-9999,-9999,-9999,419,-9999,-9999,-9999,-84,-106,-9999,-9999,19649872
0,-770,-878,-9999,-9999,1734,-9999,-9999,-9999,-9999,-9999,-9999,-15,-9999,-9999,-9999,19650146
0,-9999,-9999,-9999,-9999,1139,-9999,1179,-9999,-9999,27,-996,-9999,-69,-9999,2421,19650419
0,-826,-9999,-792,-9999,-9999,1620,966,379,-9999,48,-1062,66,-44,474,2590,19650659
0,-820,-923,-805,-650,-9999,1264,1928,805,-187,-36,-943,83,-34,474,2575,19650913
0,-842,-880,-800,-654,3920,-9999,3632,892,-80,-9999,-973,-9999,-9999,476,-9999,19651141
0,-844,-870,-795,-656,-9999,1224,4130,1014,-26,-9999,-9999,-9999,-9999,476,2565,19651372
0,-848,-889,-794,-660,3941,1140,-9999,636,-9999,-9999,-9999,-9999,-24,-9999,2507,19651604
0,-854,-9999,-795,-665,4265,1692,4396,262,-9999,-9999,-980,96,-16,484,-9999,19651857
0,-9999,-957,-9999,-666,4415,2258,4443,-9999,-9999,-9999,-988,-9999,-9999,484,-9999,19652115
0,-844,-9999,-794,-666,-9999,2393,4482,235,-37,-28,-980,-9999,-9999,486,2546,19652373
0,-844,-9999,-802,-666,-9999,1427,4477,236,-9999,-9,-9999,-9999,-9999,474,2488,19652622
0,-838,-866,-819,-666,3479,1448,3760,189,7,-4,-999,96,-9999,-9999,2511,19652871
0,-9999,-865,-828,-9999,4076,1336,3896,242,-20,-9999,-993,96,-24,484,2545,19653084
0,-895,-876,-828,-686,4174,-9999,3896,223,-6,-26,-960,-9999,-14,468,2569,19653316
0,-938,-896,-840,-9999,4237,1189,-9999,-9999,-9999,-38,-984,-9999,-16,484,2573,19653538
0,-9999,-905,-9999,-9999,4377,872,3117,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19653783
